,dll_loaded
0,MSVCP60.dll
1,netutils.dll
2,API-MS-Win-Security-LSALookup-L1-1-0.dll
3,srvcli.dll
4,WINSTA.dll
5,apphelp.dll
6,LINKINFO.dll
7,C:\Program Files\Internet Explorer\ieproxy.dll
8,kernel32.dll
9,UxTheme.dll
10,Wtsapi32.dll
11,C:\Windows\system32\ole32.dll
12,msls31.dll
13,dwmapi.dll
14,slc.dll
15,C:\Windows\system32\IconCodecService.dll
16,C:\Windows\system32\uxtheme.dll
17,ntmarta.dll
18,API-MS-WIN-Service-Management-L2-1-0.dll
19,API-MS-WIN-Service-Management-L1-1-0.dll
20,PROPSYS.dll
21,USP10.dll
22,MSISIP.DLL
23,API-MS-Win-Core-LocalRegistry-L1-1-0.dll
24,API-MS-WIN-Service-winsvc-L1-1-0.dll
25,advapi32.dll
26,comctl32
27,ole32.dll
28,comctl32.dll
29,CRYPTSP.dll
30,USER32.dll
31,IMM32.dll
32,C:\Windows\SysWOW64\wshext.dll
33,API-MS-Win-Security-SDDL-L1-1-0.dll
34,C:\Windows\syswow64\CRYPT32.dll
35,WINTRUST.dll
36,WindowsCodecs.dll
37,OLEAUT32.dll
38,profapi.dll
39,SHELL32.dll
40,RPCRT4.dll
41,RICHED32.DLL
42,COMCTL32.dll
43,SHLWAPI.dll
44,SXS.DLL
45,C:\Windows\system32\advapi32.dll
46,KERNEL32.dll
47,MSVCRT.dll
48,ADVAPI32.dll
49,rpcrt4.dll
50,wscapi.dll
51,SETUPAPI.dll
52,ntshrui.dll
53,Comctl32.dll
54,COMCTL32.DLL
