,urls,proc_pid,udp,tcp,hosts,requests,domains,proc,file_created,dll_loaded,regkey_opened,command_line,regkey_read,regkey_written
0,349,0,1,0,1,0,1,16,1393,22,265,0,477,5
1,268,1,0,-1,0,0,0,9,1464,46,411,5,656,1
2,424,2,2,-1,-1,1,-1,14,751,5,238,11,2800,8
3,374,3,3,-1,-1,-1,-1,11,968,53,291,12,2957,0
4,386,4,4,-1,-1,-1,-1,15,24,35,622,2,1164,3
5,323,5,5,-1,-1,-1,-1,4,696,40,409,10,917,4
6,231,5,6,-1,-1,-1,-1,6,591,20,8,9,2061,10
7,131,6,7,-1,-1,-1,-1,3,195,7,295,7,640,11
8,345,7,8,-1,-1,-1,-1,8,742,44,427,4,2629,2
9,207,8,9,-1,-1,-1,-1,12,1056,34,164,8,1850,7
10,94,9,10,-1,-1,-1,-1,13,1356,38,614,1,2502,6
11,15,10,11,-1,-1,-1,-1,2,196,11,257,3,839,9
12,210,11,12,-1,-1,-1,-1,17,1092,45,271,6,1564,-1
13,187,12,13,-1,-1,-1,-1,0,70,43,629,-1,1127,-1
14,2,-1,14,-1,-1,-1,-1,10,1187,52,412,-1,807,-1
15,285,-1,15,-1,-1,-1,-1,7,1403,9,331,-1,898,-1
16,402,-1,16,-1,-1,-1,-1,18,346,12,608,-1,1937,-1
17,28,-1,-1,-1,-1,-1,-1,5,237,47,540,-1,1044,-1
18,216,-1,-1,-1,-1,-1,-1,1,1220,2,728,-1,421,-1
19,124,-1,-1,-1,-1,-1,-1,-1,492,1,453,-1,3068,-1
20,125,-1,-1,-1,-1,-1,-1,-1,1067,25,452,-1,2018,-1
21,438,-1,-1,-1,-1,-1,-1,-1,929,33,209,-1,620,-1
22,482,-1,-1,-1,-1,-1,-1,-1,295,21,547,-1,3024,-1
23,256,-1,-1,-1,-1,-1,-1,-1,1076,4,123,-1,94,-1
24,177,-1,-1,-1,-1,-1,-1,-1,921,3,279,-1,1453,-1
25,11,-1,-1,-1,-1,-1,-1,-1,962,39,354,-1,682,-1
26,381,-1,-1,-1,-1,-1,-1,-1,931,41,399,-1,532,-1
27,295,-1,-1,-1,-1,-1,-1,-1,853,49,9,-1,1457,-1
28,350,-1,-1,-1,-1,-1,-1,-1,1059,42,644,-1,2768,-1
29,249,-1,-1,-1,-1,-1,-1,-1,786,16,754,-1,750,-1
30,435,-1,-1,-1,-1,-1,-1,-1,478,32,537,-1,2450,-1
31,227,-1,-1,-1,-1,-1,-1,-1,886,18,432,-1,2180,-1
32,387,-1,-1,-1,-1,-1,-1,-1,1346,8,599,-1,1643,-1
33,230,-1,-1,-1,-1,-1,-1,-1,37,6,509,-1,2530,-1
34,77,-1,-1,-1,-1,-1,-1,-1,1173,13,581,-1,2295,-1
35,250,-1,-1,-1,-1,-1,-1,-1,798,36,611,-1,2972,-1
36,266,-1,-1,-1,-1,-1,-1,-1,1155,37,698,-1,2267,-1
37,166,-1,-1,-1,-1,-1,-1,-1,1241,24,712,-1,2001,-1
38,198,-1,-1,-1,-1,-1,-1,-1,276,50,319,-1,1835,-1
39,464,-1,-1,-1,-1,-1,-1,-1,280,29,6,-1,2817,-1
40,152,-1,-1,-1,-1,-1,-1,-1,1527,27,284,-1,1925,-1
41,111,-1,-1,-1,-1,-1,-1,-1,119,26,66,-1,1969,-1
42,267,-1,-1,-1,-1,-1,-1,-1,855,15,675,-1,2386,-1
43,359,-1,-1,-1,-1,-1,-1,-1,617,30,681,-1,1383,-1
44,40,-1,-1,-1,-1,-1,-1,-1,505,31,500,-1,2686,-1
45,365,-1,-1,-1,-1,-1,-1,-1,1145,10,343,-1,1304,-1
46,358,-1,-1,-1,-1,-1,-1,-1,1431,19,473,-1,2912,-1
47,193,-1,-1,-1,-1,-1,-1,-1,1452,23,344,-1,1743,-1
48,471,-1,-1,-1,-1,-1,-1,-1,729,0,233,-1,869,-1
49,451,-1,-1,-1,-1,-1,-1,-1,986,51,353,-1,336,-1
50,409,-1,-1,-1,-1,-1,-1,-1,1262,54,230,-1,1167,-1
51,233,-1,-1,-1,-1,-1,-1,-1,524,28,576,-1,776,-1
