,src,dst,offset,time,dport,sport
0,192.168.56.20,192.168.56.255,1300,4.908933162689209,137,137
1,192.168.56.20,192.168.56.255,11236,11.014165163040161,138,138
2,192.168.56.20,224.0.0.252,20162,11.917102098464966,5355,52095
3,192.168.56.20,224.0.0.252,20490,4.8342320919036865,5355,53210
4,192.168.56.20,224.0.0.252,20838,2.845703125,5355,55495
5,192.168.56.20,224.0.0.252,21186,19.76891803741455,5355,56240
6,192.168.56.20,224.0.0.252,21514,9.312242984771729,5355,58259
7,192.168.56.20,224.0.0.252,21842,14.646724939346313,5355,59081
8,192.168.56.20,224.0.0.252,22170,22.331764936447144,5355,60304
9,192.168.56.20,224.0.0.252,22498,17.190478086471558,5355,62549
10,192.168.56.20,239.255.255.250,22826,2.8571629524230957,3702,51843
11,192.168.56.20,239.255.255.250,31194,12.069903135299683,3702,52096
12,192.168.56.20,239.255.255.250,33922,2.939779043197632,1900,55498
13,192.168.56.20,239.255.255.250,41490,16.57073998451233,3702,59082
14,192.168.56.20,8.8.8.8,44482,9.486608982086182,53,50772
15,192.168.56.20,8.8.8.8,45118,4.850288152694702,53,53918
16,192.168.56.20,8.8.8.8,45375,8.384765148162842,53,64846
