file,urls,proc_pid,udp,tcp,hosts,requests,domains,proc,file_created,dll_loaded,regkey_opened,command_line,regkey_read,regkey_written
/home/cuckoo/.cuckoo/storage/analyses/18/memory/144-1.dmp,http://www.expedia.com/favicon.ico,144.0,"{'src': '192.168.56.20', 'dst': '192.168.56.255', 'offset': 1300, 'time': 4.908933162689209, 'dport': 137, 'sport': 137}","{'src': '62.210.217.207', 'dst': '192.168.56.20', 'offset': 45775, 'time': 6.055221080780029, 'dport': 49630, 'sport': 9001}",8.8.8.8,dns.msftncsi.com,"{'ip': '131.107.255.255', 'domain': 'dns.msftncsi.com'}","{'pid': 480, 'process_name': 'lsass.exe', 'ppid': 384}",C:\Users\Victima2\AppData\Roaming\Microsoft\Windows\Recent\~SD1882.tmp,MSVCP60.dll,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\PropertyBag,272271556512340.bat,HKEY_LOCAL_MACHINE\SOFTWARE\Classes\Wow6432Node\CLSID\{59031A47-3F72-44A7-89C5-5595FE6B30EE}\ShellFolder\WantsFORPARSING,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Action Center\Checks\{852FB1F8-5CC6-4567-9C0E-7C330F8807C2}.check.101\CheckSetting
/home/cuckoo/.cuckoo/storage/analyses/18/memory/644-1.dmp,http://uk.ask.com/favicon.ico,644.0,"{'src': '192.168.56.20', 'dst': '192.168.56.255', 'offset': 11236, 'time': 11.014165163040161, 'dport': 138, 'sport': 138}",N/A,62.210.217.207,dns.msftncsi.com,"{'ip': '', 'domain': 'teredo.ipv6.microsoft.com'}","{'pid': 2368, 'process_name': 'wannacry.exe', 'ppid': 2728}",C:\Users\Victima2\Desktop\Utilidades\Office 2010 Esp\Proofing.es-es\Proof.ca\~SDBC37.tmp,netutils.dll,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Explorer\UsersFiles\NameSpace,"cmd.exe /c reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v ""hhggqntuvd827"" /t REG_SZ /d ""\""C:\Users\Victima2\AppData\Local\Temp\tasksche.exe\"""" /f",HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\4AFC55126308D32438EED59806D01BC9\00004109110000000000000000F01FEC,HKEY_CURRENT_USER\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\NodeSlots
/home/cuckoo/.cuckoo/storage/analyses/18/memory/1376-1.dmp,http://www.priceminister.com/,1376.0,"{'src': '192.168.56.20', 'dst': '224.0.0.252', 'offset': 20162, 'time': 11.917102098464966, 'dport': 5355, 'sport': 52095}",N/A,N/A,teredo.ipv6.microsoft.com,N/A,"{'pid': 2860, 'process_name': 'attrib.exe', 'ppid': 2368}",C:\Users\All Users\Microsoft\User Account Pictures\~SD40DE.tmp,API-MS-Win-Security-LSALookup-L1-1-0.dll,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{54EED2E0-E7CA-4FDB-9148-0F4247291CFA},taskdl.exe,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{DE974D24-D9C6-4D3E-BF91-F4455120B917}\LocalizedName,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Shell Extensions\Cached\{C7657C4A-9F68-40FA-A4DF-96BC08EB3551} {E357FCCD-A995-4576-B01F-234630154E96} 0xFFFF
/home/cuckoo/.cuckoo/storage/analyses/18/memory/1744-1.dmp,http://www.iask.com/favicon.ico,1744.0,"{'src': '192.168.56.20', 'dst': '224.0.0.252', 'offset': 20490, 'time': 4.8342320919036865, 'dport': 5355, 'sport': 53210}",N/A,N/A,N/A,N/A,"{'pid': 2564, 'process_name': 'icacls.exe', 'ppid': 2368}",C:\Users\Victima2\AppData\Local\Google\Chrome\User Data\Default\Extensions\apdfllckaahabafndbhieahigkjlhalf\6.2_0\_locales\zh_CN\~SDA472.tmp,srvcli.dll,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{A302545D-DEFF-464B-ABE8-61C8648D939B}\PropertyBag,taskse.exe C:\Users\Victima2\AppData\Local\Temp\@WanaDecryptor@.exe,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{F38BF404-1D43-42F2-9305-67DE0B28FC23}\InfoTip,HKEY_CURRENT_USER\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\MRUListEx
/home/cuckoo/.cuckoo/storage/analyses/18/memory/1908-1.dmp,http://www.merlin.com.pl/favicon.ico,1908.0,"{'src': '192.168.56.20', 'dst': '224.0.0.252', 'offset': 20838, 'time': 2.845703125, 'dport': 5355, 'sport': 55495}",N/A,N/A,N/A,N/A,"{'pid': 3056, 'process_name': 'taskdl.exe', 'ppid': 2368}",C:\MSOCache\All Users\{90140000-006E-0C0A-0000-0000000FF1CE}-C\3082\~SDC88D.tmp,WINSTA.dll,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\9FCE2B9622F87F2339EDB74D395D7D09,@WanaDecryptor@.exe  vs,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{190337D1-B8CA-4121-A639-6D472D16972A}\PreCreate,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Action Center\Checks\{11CD958A-C507-4EF3-B3F2-5FD9DFBD2C78}.check.101\CheckSetting
/home/cuckoo/.cuckoo/storage/analyses/18/memory/2020-1.dmp,http://www.cnet.com/favicon.ico,2020.0,"{'src': '192.168.56.20', 'dst': '224.0.0.252', 'offset': 21186, 'time': 19.76891803741455, 'dport': 5355, 'sport': 56240}",N/A,N/A,N/A,N/A,"{'pid': 144, 'process_name': 'cmd.exe', 'ppid': 2368}",C:\Users\All Users\Microsoft\RAC\Temp\~SD408F.tmp,apphelp.dll,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Explorer\KnownFolderSettings,"reg  add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v ""hhggqntuvd827"" /t REG_SZ /d ""\""C:\Users\Victima2\AppData\Local\Temp\tasksche.exe\"""" /f",HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoStartMenuPinnedList,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Action Center\Checks\{852FB1F8-5CC6-4567-9C0E-7C330F8807C2}.check.100\CheckSetting
/home/cuckoo/.cuckoo/storage/analyses/18/memory/2020-2.dmp,http://search.nifty.com/,2020.0,"{'src': '192.168.56.20', 'dst': '224.0.0.252', 'offset': 21514, 'time': 9.312242984771729, 'dport': 5355, 'sport': 58259}",N/A,N/A,N/A,N/A,"{'pid': 1908, 'process_name': 'cscript.exe', 'ppid': 144}",C:\Python27\tcl\tix8.4.3\bitmaps\warning.gif.WNCRYT,LINKINFO.dll,HKEY_CLASSES_ROOT\Directory,icacls . /grant Everyone:F /T /C /Q,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{905E63B6-C1BF-494E-B29C-65B732D3D21A}\Name,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Run\hhggqntuvd827
/home/cuckoo/.cuckoo/storage/analyses/18/memory/2144-1.dmp,http://ns.adobe.com/exif/1.0/,2144.0,"{'src': '192.168.56.20', 'dst': '224.0.0.252', 'offset': 21842, 'time': 14.646724939346313, 'dport': 5355, 'sport': 59081}",N/A,N/A,N/A,N/A,"{'pid': 1436, 'process_name': 'explorer.exe', 'ppid': 1392}",C:\Python27\Lib\site-packages\setuptools-39.0.1.dist-info\dependency_links.txt.WNCRYT,C:\Program Files\Internet Explorer\ieproxy.dll,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{A4115719-D62E-491D-AA7C-E74B8BE3B067}\PropertyBag,cmd.exe /c vssadmin delete shadows /all /quiet & wmic shadowcopy delete & bcdedit /set {default} bootstatuspolicy ignoreallfailures & bcdedit /set {default} recoveryenabled no & wbadmin delete catalog -quiet,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\443DEA9101B16344993D31BA8F033E02\CEE59B4B722796F49A8140A37F6535DA,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\WanaCrypt0r\wd
/home/cuckoo/.cuckoo/storage/analyses/18/memory/2368-1.dmp,http://www.etmall.com.tw/,2368.0,"{'src': '192.168.56.20', 'dst': '224.0.0.252', 'offset': 22170, 'time': 22.331764936447144, 'dport': 5355, 'sport': 60304}",N/A,N/A,N/A,N/A,"{'pid': 2144, 'process_name': 'taskdl.exe', 'ppid': 2368}",C:\Users\All Users\Microsoft\User Account Pictures\Default Pictures\usertile39.bmp.WNCRYT,kernel32.dll,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\06E3DA9C1280A0149BA8E966950350F5,attrib +h .,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{C5ABBF53-E17F-4121-8900-86626FC2C973}\Stream,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Action Center\Checks\{01979c6a-42fa-414c-b8aa-eee2c8202018}.check.100\CheckSetting
/home/cuckoo/.cuckoo/storage/analyses/18/memory/2536-1.dmp,http://search.goo.ne.jp/,2536.0,"{'src': '192.168.56.20', 'dst': '224.0.0.252', 'offset': 22498, 'time': 17.190478086471558, 'dport': 5355, 'sport': 62549}",N/A,N/A,N/A,N/A,"{'pid': 2660, 'process_name': 'taskdl.exe', 'ppid': 2368}",C:\Users\Victima2\AppData\Local\Google\Chrome\User Data\Default\Extensions\blpcfgokakmgnkcojhhkbfbldkacnbeo\~SDA4E2.tmp,UxTheme.dll,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllPutSignedDataMsg\{DE351A42-8E59-11D0-8C47-00C04FC295EE},cscript.exe  //nologo m.vbs,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{724EF170-A42D-4FEF-9F26-B60E846FBA4F}\StreamResource,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\StartPage2\ProgramsCache
