,file,urls,proc_pid,udp,tcp,hosts,requests,domains,pid,process_name,ppid,file_created,dll_loaded,regkey_opened,command_line,regkey_read,regkey_written
0,N/A,N/A,N/A,"{'src': '192.168.56.40', 'dst': '192.168.56.255', 'offset': 146316, 'time': 22.11292290687561, 'dport': 137, 'sport': 137}","{'src': '192.168.56.40', 'dst': '13.104.215.69', 'offset': 1882, 'time': 85.07569003105164, 'dport': 443, 'sport': 49697}",13.104.215.69,settings-win.data.microsoft.com,"{'ip': '192.168.56.40', 'domain': 'DESKTOP-QNLTN06.local'}",572.0,lsass.exe,444.0,C:\Users\Administrador\AppData\Local\Temp\nsu681E.tmp\g4wihelp.dll,C:\Windows\system32\DWMAPI.dll,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\MenuOrder\Start Menu\Programs\GnuPT,N/A,HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B94237E7-57AC-4347-9151-B08C6C32D1F7}\DefinitionFlags,N/A
1,N/A,N/A,N/A,"{'src': '192.168.56.40', 'dst': '192.168.56.255', 'offset': 151932, 'time': 28.101629972457886, 'dport': 138, 'sport': 138}","{'src': '192.168.56.40', 'dst': '13.107.246.10', 'offset': 38828, 'time': 83.51905608177185, 'dport': 443, 'sport': 49692}",13.107.246.10,sls.update.microsoft.com,"{'ip': '142.250.64.174', 'domain': 'redirector.gvt1.com'}",3180.0,gpg4win-3.1.13.exe,3844.0,C:\Users\Administrador\AppData\Local\Temp\nsu681E.tmp\modern-wizard.bmp,C:\Windows\system32\RichEd20.dll,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion,N/A,HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{E555AB60-153B-4D17-9F04-A5FE99FC15EC}\Name,N/A
2,N/A,N/A,N/A,"{'src': '192.168.56.40', 'dst': '224.0.0.251', 'offset': 1732569, 'time': 21.533435106277466, 'dport': 5353, 'sport': 5353}","{'src': '192.168.56.40', 'dst': '13.107.4.52', 'offset': 49807, 'time': 27.785115957260132, 'dport': 80, 'sport': 49675}",13.107.4.52,client.wns.windows.com,"{'ip': '200.41.11.126', 'domain': 'ctldl.windowsupdate.com'}",N/A,N/A,N/A,C:\Users\Administrador\AppData\Local\Temp\nsu681E.tmp\nsDialogs.dll,C:\Windows\system32\PROPSYS.dll,HKEY_CURRENT_USER\Software\Gpg4win,N/A,HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{A4115719-D62E-491D-AA7C-E74B8BE3B067}\Stream,N/A
3,N/A,N/A,N/A,"{'src': '192.168.56.40', 'dst': '224.0.0.252', 'offset': 1733961, 'time': 28.87690305709839, 'dport': 5355, 'sport': 53955}","{'src': '192.168.56.40', 'dst': '172.217.1.110', 'offset': 51156, 'time': 111.07939505577087, 'dport': 80, 'sport': 49712}",172.217.1.110,ctldl.windowsupdate.com,"{'ip': '216.58.192.35', 'domain': 'update.googleapis.com'}",N/A,N/A,N/A,C:\Users\Administrador\AppData\Local\Temp\nsk67DF.tmp,api-ms-win-core-com-l1-1-0.dll,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\Gpg4win,N/A,HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{0ddd015d-b06c-45d5-8c4c-f59713854639}\InfoTip,N/A
4,N/A,N/A,N/A,"{'src': '192.168.56.40', 'dst': '224.0.0.252', 'offset': 1734325, 'time': 21.985104084014893, 'dport': 5355, 'sport': 60139}","{'src': '192.168.56.40', 'dst': '172.217.1.110', 'offset': 52595, 'time': 123.39745092391968, 'dport': 443, 'sport': 49716}",172.217.8.99,ocsp.digicert.com,"{'ip': '96.7.198.96', 'domain': 'go.microsoft.com'}",N/A,N/A,N/A,C:\Users\Administrador\AppData\Local\Temp\nsu681E.tmp\modern-header.bmp,C:\Windows\system32\SETUPAPI.dll,HKEY_LOCAL_MACHINE\Software\Gpg4win,N/A,HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{54EED2E0-E7CA-4fdb-9148-0F4247291CFA}\PreCreate,N/A
5,N/A,N/A,N/A,"{'src': '192.168.56.40', 'dst': '239.255.255.250', 'offset': 1743879, 'time': 22.506947994232178, 'dport': 3702, 'sport': 50688}","{'src': '192.168.56.40', 'dst': '172.217.8.99', 'offset': 61287, 'time': 85.65483689308167, 'dport': 443, 'sport': 49698}",186.47.206.153,go.microsoft.com,"{'ip': '40.64.100.89', 'domain': 'displaycatalog.mp.microsoft.com'}",N/A,N/A,N/A,C:\Users\Administrador\AppData\Local\Temp\nsu681E.tmp,kernel32.dll,HKEY_LOCAL_MACHINE\Software\GNU\GnuPG,N/A,HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{724EF170-A42D-4FEF-9F26-B60E846FBA4F}\FolderTypeID,N/A
6,N/A,N/A,N/A,"{'src': '192.168.56.40', 'dst': '239.255.255.250', 'offset': 1771095, 'time': 31.226561069488525, 'dport': 1900, 'sport': 53958}","{'src': '192.168.56.40', 'dst': '186.47.206.153', 'offset': 71310, 'time': 153.45246696472168, 'dport': 80, 'sport': 49720}",186.47.206.169,clients2.google.com,"{'ip': '40.90.22.190', 'domain': 'login.live.com'}",N/A,N/A,N/A,C:\Users\Administrador\AppData\Local\Temp\nsu681E.tmp\LangDLL.dll,C:\Users\ADMINI~1\AppData\Local\Temp\nsu681E.tmp\LangDLL.dll,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\GPG4Win,N/A,HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{0762D272-C50A-4BB0-A382-697DCD729B80}\Description,N/A
7,N/A,N/A,N/A,"{'src': '192.168.56.40', 'dst': '239.255.255.250', 'offset': 1776369, 'time': 31.265727043151855, 'dport': 3702, 'sport': 53960}","{'src': '192.168.56.40', 'dst': '186.47.206.169', 'offset': 137575, 'time': 56.84564399719238, 'dport': 80, 'sport': 49680}",192.16.58.8,DESKTOP-QNLTN06.local,"{'ip': '52.191.219.104', 'domain': 'settings-win.data.microsoft.com'}",N/A,N/A,N/A,C:\Users\Administrador\AppData\Local\Temp\nsu681E.tmp\System.dll,C:\Windows\system32\ole32.dll,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\Windows Privacy Tools,N/A,HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{905e63b6-c1bf-494e-b29c-65b732d3d21a}\Stream,N/A
8,N/A,N/A,N/A,"{'src': '192.168.56.40', 'dst': '239.255.255.250', 'offset': 1785917, 'time': 42.93577194213867, 'dport': 3702, 'sport': 53962}","{'src': '192.168.56.40', 'dst': '186.47.206.169', 'offset': 140149, 'time': 83.74725008010864, 'dport': 80, 'sport': 49693}",20.190.3.175,pti.store.microsoft.com,"{'ip': '201.219.34.143', 'domain': 'r4---sn-jou-0pve7.gvt1.com'}",N/A,N/A,N/A,C:\Users\Administrador\AppData\Local\Temp\nso6628.tmp,C:\Windows\system32\SHFOLDER.dll,HKEY_LOCAL_MACHINE\Software\GNU\GnuPP\Settings,N/A,HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{a0c69a99-21c8-4671-8703-7934162fcf1d}\ParsingName,N/A
9,N/A,N/A,N/A,"{'src': '192.168.56.40', 'dst': '239.255.255.250', 'offset': 1805013, 'time': 73.65754795074463, 'dport': 3702, 'sport': 59060}","{'src': '192.168.56.40', 'dst': '186.47.206.169', 'offset': 141471, 'time': 84.08247089385986, 'dport': 80, 'sport': 49696}",201.219.34.143,www.msftconnecttest.com,"{'ip': '13.107.246.10', 'domain': 'pti.store.microsoft.com'}",N/A,N/A,N/A,C:\Users\Administrador\AppData\Local\Temp\nsu681E.tmp\UserInfo.dll,ntdll.dll,N/A,N/A,HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{B88F4DAA-E7BD-49a9-B74D-02885A5DC765}\InfoTip,N/A
